Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-14,-1.7393012831012553,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,0.6609169094854696,Tự động,Đã sử dụng,Xăng,-0.7351506928965078
2025-10-14,0.37722728549849305,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,0.12745719078703163,Tự động,Đã sử dụng,Xăng,-0.10919042519260083
2025-10-14,-0.39241946671959727,Nước khác,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Hatchback,-0.05036271544578098,Tự động,Đã sử dụng,Xăng,-0.7201447960679894
2025-10-14,0.7620506616075382,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Unknown,-0.05036271544578098,Tự động,Đã sử dụng,Xăng,-0.16278291386588054
2025-10-14,1.339285725771106,Việt Nam,"Đường Phan Trọng Tuệ, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",Hatchback,-1.1172821528426566,Tự động,Mới,Điện,0.060161839014963026
2025-10-14,-1.931712971155778,Nhật Bản,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,1.0165567219510947,Tự động,Đã sử dụng,Xăng,-0.7780246838351316
2025-10-14,-0.2000077786650747,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,0.4830792212620336,Tự động,Đã sử dụng,Xăng,-0.08775342972328895
2025-10-14,0.7620506616075382,Việt Nam,"Xã Tân Triều, Huyện Thanh Trì, Hà Nội",Sedan,-0.0859266966923435,Tự động,Đã sử dụng,Xăng,-0.3814402676528617
2025-10-14,-0.007596090610552121,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,0.3052770970198443,Tự động,Đã sử dụng,Xăng,-0.43288905677921025
2025-10-14,-0.39241946671959727,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),0.2697131157732817,Tự động,Đã sử dụng,Dầu,-0.43288905677921025
2025-10-14,-0.007596090610552121,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Minivan (MPV),1.0165567219510947,Số sàn,Đã sử dụng,Xăng,-0.37072176991820577
2025-10-14,-0.5848311547741198,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,0.0029832564240628114,Tự động,Đã sử dụng,Xăng,-0.430745357232279
2025-10-14,0.37722728549849305,Hàn Quốc,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,-0.01479873419921845,Tự động,Đã sử dụng,Dầu,0.5767934298253794
2025-10-14,0.5696389735530156,Nước khác,"Thị trấn Sóc Sơn, Huyện Sóc Sơn, Hà Nội",Minivan (MPV),0.09189320954046912,Tự động,Đã sử dụng,Xăng,-0.2420997971023345
2025-10-14,0.37722728549849305,Việt Nam,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Sedan,-0.21040063105531234,Tự động,Đã sử dụng,Xăng,0.6839784071719388
2025-10-14,-0.007596090610552121,Việt Nam,"Phường Tân Mai, Quận Hoàng Mai, Hà Nội",SUV / Cross over,0.16302117203359417,Tự động,Đã sử dụng,Xăng,-0.08775342972328895
2025-10-14,-0.7772428428286424,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,1.0165567219510947,Tự động,Đã sử dụng,Xăng,-0.49934374273407706
2025-10-14,0.37722728549849305,Thái Lan,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),0.10967520016375039,Tự động,Đã sử dụng,Dầu,-0.1520644161312246
2025-10-14,-0.39241946671959727,Đang cập nhật,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Unknown,0.5720069563690632,Tự động,Đã sử dụng,Xăng,-0.7844557824759251
2025-10-14,0.7620506616075382,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Sedan,-0.05036271544578098,Tự động,Đã sử dụng,Xăng,0.11589802723517392
2025-10-14,-1.7393012831012553,Việt Nam,"Thị trấn Sóc Sơn, Huyện Sóc Sơn, Hà Nội",Sedan,1.0165567219510947,Tự động,Đã sử dụng,Xăng,-0.5700858277828063
2025-10-14,-0.2000077786650747,Đang cập nhật,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Unknown,0.5720069563690632,Số sàn,Đã sử dụng,Xăng,-0.9259399525733835
2025-10-14,0.37722728549849305,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Hatchback,-0.38823831927874825,Tự động,Đã sử dụng,Xăng,-0.6772708051293657
2025-10-14,0.9544623496620608,Việt Nam,"79 Nguyễn Văn Cừ, Long Biên, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",SUV / Cross over,-0.7616423403770315,Tự động,Đã sử dụng,Điện,0.3838604706015724
